Id,Name
1,Molecular Immunology
2,Biomaterials
3,Fibroblast Biology
4,"Regenerative Medicine Tissue Repair, Wound Healing"
5,Human Factors
6,Biomedical Data Sciences
7,Computational Systems Biology
8,Quantitative Biosciences
9,Bioinformatics and Genomics
10,Cell and Developmental Biology
11,Computational Biology
12,Stem Cells & Regeneration
13,Neuroscience
14,Translational Science
15,Mechanotransduction
16,Cell and Molecular Biomechanics
17,Regenerative Medicine
18,Fibrosis
19,Engineering Education
20,Inclusive and Equitable Student Support
21,Synthetic Biology
22,Biomanufacturing
23,Biotechnology
24,Biofilms
25,Biomineralization
26,Biosurfactants
27,Biosensors
28,Structural Biology
29,Biomechanics
30,Musculoskeletal Diseases
31,Structural Bioinformatics
32,Biomedical Data Science and Systems Biology
33,Systems Pharmacology
34,Mechanobiology
35,Musculoskeletal Tissue Engineering
36,Materials and Advanced Manufacturing for Biological Applications
37,Translational Research
38,Entrepreneurship
39,Technology Transfer
40,Innovation
41,Student Industry Preparedness
42,Advanced Biomanufacturing
43,Engineered Soft Biomaterials
44,Systems Immunology
45,Immunoengineering
46,Maternal and Placental Immune Regulation
47,Biomedical and Molecular Imaging
48,Image Reconstruction and Processing
49,Imaging System Engineering
50,Cardiovascular Disease
51,Systems Biology
52,Cancer Biology
53,Cellular and Molecular Bioengineering
54,Quantitative Pharmacology
55,Tumor Heterogeneity
56,Targeted Drug and Gene Delivery
57,Biomedical Imaging
58,Tissue Engineering and Biomaterials
59,Novel Biomaterial Development
60,Drug and Cell Delivery
61,"Molecular biomechanics Intermolecular bond mechanics, molecular motors, and the motility of single cells"
62,Design of clinical instruments
63,"Scholarship of teaching and learning Self-concept, self-efficacy, and other psychometrics that might be influenced by hands-on experiences"
64,Tissue Regeneration
65,Bioprinting
66,Drug Development
67,Theranostics and Image-Guided Therapies
68,Multi-Functional Nanoconstructs and Cellular Engineering
69,Cancer Immunotherapy
70,Cell signaling and cellular decision-making
71,Systems biology
72,Targeted therapeutics for cancer
73,Computational modeling of biological phenomena
74,Medical and Molecular Imaging
75,Signal and Image Processing
76,Biomechanics/Injury Biomechanics or Biomechanics and Mechanobiology
77,Cardiovascular Engineering
78,Machine Learning and Data Science
79,Bioinformatics and Computational Biology
80,Cellular and Molecular Engineering
81,Cancer
82,"Biotechnology and Biomolecular Engineering Biomolecular Design, Cellular and Molecular Bioengineering"
83,Systems Bioengineering
84,Tissue Engineering
85,Advanced Biomanufacturing 3D Bioprinting
86,Cardiovascular Genetics
87,Biotechnology Engineering
88,Drug and Gene Delivery
89,Biomechanics and Mechanobiology
90,Computer Graphics and Vision
91,Machine Learning
92,Machine Learning / AI / Data Science
93,Inflammation-Fibrosis
94,Advanced Immunotherapies
95,Nanotechnology
96,Biomaterials Science
97,Precision Medicine
98,Immune Engineering
99,Biomaterials and biofunctional materials
100,Biosynthesis
101,Nanotechnology and tissue engineering
102,Data Mining
103,Bioinformatics
104,Health Informatics
105,Catalysis
106,Electrocatalysis
107,Materials synthesis
108,Materials characterization
109,Molecular Simulations
110,Machine Learning & Artificial Intelligence
111,Statistical Physics & Biophysics
112,Protein Separations
113,Polymers and soft matter
114,Advanced (bio)manufacturing
115,Bioengineering
116,Surface and Interface Science and Engineering
117,Materials Characterization
118,Environmental Engineering
119,Water Resources
120,Membrane Separations
121,Polymers
122,Redox Flow Battery / Fuel Cell Membranes
123,Desalination Membranes
124,Microwave Dielectric Relaxation Spectroscopy
125,Colloids and Interfaces
126,Assembly and Rheology
127,Soft Materials and Soft Matter
128,Batteries and Energy Storage
129,Particle Engineering and Characterization
130,Materials Microstructure Control and Characterization
131,Colloid and Surface Science
132,Reaction Engineering
133,Tissue Engineering and Regenerative Medicine
134,Drug Delivery
135,Biotechnology and Biomolecular Engineering
136,Polymer synthesis and characterization
137,Peptide binding and assembly
138,Therapeutic peptide delivery
139,Computational Catalysis
140,Quantum Chemical Calculations
141,Modeling of Material Synthesis and Deactivation
